,system_id,component_id,event_date,event_time,event_type,event_report,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,1,1,1970-01-06,18:59:36,inspection,,138.99,138.99,138.99,,100,100
1,9,9,1970-01-06,23:42:36,inspection,,143.71,143.71,143.71,,100,100
2,4,4,1970-01-07,05:42:31,inspection,,149.71,149.71,149.71,,100,100
3,3,3,1970-01-07,17:54:56,inspection,,161.92,161.92,161.92,,100,100
4,10,10,1970-01-08,00:51:13,inspection,,168.85,168.85,168.85,,100,100
5,7,7,1970-01-08,05:32:36,inspection,,173.54,173.54,173.54,,100,100
6,5,5,1970-01-08,06:40:29,inspection,,174.67,174.67,174.67,,100,100
7,2,2,1970-01-09,01:37:38,inspection,,193.63,193.63,193.63,,100,100
8,6,6,1970-01-09,18:17:07,inspection,,210.29,210.29,210.29,,100,100
9,8,8,1970-01-10,12:49:27,inspection,,228.82,228.82,228.82,,100,100
10,1,1,1970-01-11,19:19:56,inspection,,259.33,259.33,120.34,,100,200
11,4,4,1970-01-13,23:52:46,inspection,,311.88,311.88,162.17,,100,200
12,3,3,1970-01-14,01:48:16,inspection,,313.8,313.8,151.89,,100,200
13,9,9,1970-01-15,00:17:30,inspection,,336.29,336.29,192.58,,100,200
14,7,7,1970-01-15,03:05:19,inspection,,339.09,339.09,165.55,,100,200
15,10,10,1970-01-15,06:53:29,inspection,,342.89,342.89,174.04,,100,200
16,5,5,1970-01-15,10:44:52,inspection,,346.75,346.75,172.07,,100,200
17,2,2,1970-01-15,13:34:18,inspection,,349.57,349.57,155.94,,100,200
18,6,6,1970-01-15,14:34:53,inspection,,350.58,350.58,140.3,,100,200
19,1,1,1970-01-17,21:50:33,inspection,,405.84,405.84,146.51,,100,300
20,8,8,1970-01-18,17:01:30,inspection,,425.03,425.03,196.2,,100,200
21,3,3,1970-01-18,22:21:14,inspection,,430.35,430.35,116.55,,100,300
22,8,8,1970-01-20,05:49:47,failure,,461.83,461.83,36.8,,1200,1400
23,8,8,1970-01-20,05:49:47,replacement,unused,461.83,461.83,0.0,,1100,2500
24,5,5,1970-01-20,15:20:27,inspection,,471.34,471.34,124.59,,100,300
25,4,4,1970-01-21,05:04:22,inspection,,485.07,485.07,173.19,,100,300
26,2,2,1970-01-21,11:32:30,failure,,491.54,491.54,141.97,,1200,1400
27,2,2,1970-01-21,11:32:30,replacement,unused,491.54,491.54,0.0,,1100,2500
28,7,7,1970-01-21,11:36:23,inspection,,491.61,491.61,152.52,,100,300
29,2,12,1970-01-21,19:38:38,inspection,,499.64,8.1,8.1,,100,2600
30,10,10,1970-01-22,18:06:08,inspection,,522.1,522.1,179.21,,100,300
31,9,9,1970-01-23,06:12:51,inspection,,534.21,534.21,197.92,,100,300
32,6,6,1970-01-23,11:36:10,inspection,,539.6,539.6,189.02,,100,300
33,5,5,1970-01-24,10:34:17,failure,,562.57,562.57,91.23,,1200,1500
34,5,5,1970-01-24,10:34:17,replacement,unused,562.57,562.57,0.0,,1100,2600
35,1,1,1970-01-25,07:47:01,inspection,,583.78,583.78,177.94,,100,400
36,8,11,1970-01-26,01:34:55,inspection,,601.58,139.75,139.75,,100,2600
37,3,3,1970-01-26,07:35:43,failure,,607.6,607.6,177.24,,1200,1500
38,3,3,1970-01-26,07:35:43,replacement,unused,607.6,607.6,0.0,,1100,2600
39,3,14,1970-01-26,10:45:36,inspection,,610.76,3.16,3.16,,100,2700
40,7,7,1970-01-26,19:06:28,inspection,,619.11,619.11,127.5,,100,400
41,4,4,1970-01-27,15:04:24,inspection,,639.07,639.07,154.0,,100,400
42,5,13,1970-01-27,15:29:49,inspection,,639.5,76.93,76.93,,100,2700
43,9,9,1970-01-27,22:21:13,failure,,646.35,646.35,112.14,,1200,1500
44,9,9,1970-01-27,22:21:13,replacement,unused,646.35,646.35,0.0,,1100,2600
45,1,1,1970-01-28,02:50:58,failure,,650.85,650.85,67.07,,1200,1600
46,1,1,1970-01-28,02:50:58,replacement,unused,650.85,650.85,0.0,,1100,2700
47,6,6,1970-01-28,22:58:51,inspection,wornout,670.98,670.98,131.38,,100,400
48,10,10,1970-01-29,00:55:46,inspection,wornout,672.93,672.93,150.83,,100,400
49,10,10,1970-01-29,12:20:14,replacement,unused,684.34,684.34,11.41,True,1100,1500
50,2,12,1970-01-29,18:08:56,inspection,,690.15,198.61,190.5,,100,2700
51,6,6,1970-01-30,18:39:57,replacement,unused,714.67,714.67,43.69,True,1100,1500
52,9,15,1970-01-31,06:24:16,inspection,,726.4,80.05,80.05,,100,2700
53,1,16,1970-01-31,14:25:59,inspection,,734.43,83.58,83.58,,100,2800
54,8,11,1970-02-01,23:41:25,inspection,,767.69,305.86,166.11,,100,2700
55,3,14,1970-02-02,20:18:18,inspection,,788.31,180.71,177.55,,100,2800
56,7,7,1970-02-03,21:38:41,failure,,813.64,813.64,194.54,,1200,1600
57,7,7,1970-02-03,21:38:41,replacement,unused,813.64,813.64,0.0,,1100,2700
58,5,13,1970-02-03,22:31:11,inspection,,814.52,251.95,175.02,,100,2800
59,4,4,1970-02-04,11:14:22,inspection,expired,827.24,827.24,188.17,,100,500
60,6,18,1970-02-04,17:36:36,inspection,,833.61,118.94,118.94,,100,1600
61,2,12,1970-02-04,18:06:51,inspection,,834.11,342.57,143.97,,100,2800
62,4,4,1970-02-04,18:34:47,replacement,unused,834.58,834.58,7.34,,1100,1600
63,10,17,1970-02-05,01:37:19,inspection,,841.62,157.28,157.28,,100,1600
64,7,19,1970-02-05,16:59:49,inspection,,857.0,43.35,43.35,,100,2800
65,9,15,1970-02-05,23:45:24,inspection,,863.76,217.4,137.35,,100,2800
66,3,14,1970-02-06,20:09:40,failure,,884.16,276.57,95.86,,1200,4000
67,3,14,1970-02-06,20:09:40,replacement,unused,884.16,276.57,0.0,,1100,5100
68,1,16,1970-02-08,08:08:08,inspection,,920.14,269.29,185.7,,100,2900
69,8,11,1970-02-08,09:21:53,inspection,,921.36,459.54,153.67,,100,2800
70,8,11,1970-02-09,06:22:49,failure,,942.38,480.55,21.02,,1200,4000
71,8,11,1970-02-09,06:22:49,replacement,unused,942.38,480.55,0.0,,1100,5100
72,2,12,1970-02-10,18:59:33,inspection,,978.99,487.45,144.88,,100,2900
73,3,21,1970-02-10,20:31:54,inspection,,980.53,96.37,96.37,,100,5200
74,5,13,1970-02-11,02:26:09,inspection,,986.44,423.86,171.92,,100,2900
75,7,19,1970-02-11,11:10:03,inspection,,995.17,181.52,138.17,,100,2900
76,6,18,1970-02-11,11:14:35,inspection,,995.24,280.58,161.63,,100,1700
77,4,20,1970-02-12,02:13:27,inspection,,1010.22,175.64,175.64,,100,1700
78,10,17,1970-02-12,11:48:40,inspection,,1019.81,335.47,178.19,,100,1700
79,9,15,1970-02-14,01:20:32,inspection,,1057.34,410.99,193.59,,100,2900
80,3,21,1970-02-14,22:32:35,inspection,,1078.54,194.38,98.01,,100,5300
81,5,13,1970-02-15,09:26:27,failure,,1089.44,526.87,103.01,,1200,4100
82,5,13,1970-02-15,09:26:27,replacement,unused,1089.44,526.87,0.0,,1100,5200
83,8,22,1970-02-15,11:12:51,inspection,,1091.21,148.83,148.83,,100,5200
84,1,16,1970-02-16,17:27:59,inspection,,1121.47,470.62,201.33,,100,3000
85,2,12,1970-02-17,12:59:05,failure,,1140.98,649.44,161.99,,1200,4100
86,2,12,1970-02-17,12:59:05,replacement,unused,1140.98,649.44,0.0,,1100,5200
87,5,23,1970-02-18,03:43:10,inspection,,1155.72,66.28,66.28,,100,5300
88,2,24,1970-02-18,03:53:07,inspection,,1155.89,14.9,14.9,,100,5300
89,4,20,1970-02-18,05:16:46,inspection,,1157.28,322.7,147.06,,100,1800
90,7,19,1970-02-18,09:31:05,inspection,,1161.52,347.87,166.35,,100,3000
91,6,18,1970-02-18,16:49:24,inspection,,1168.82,454.16,173.58,,100,1800
92,10,17,1970-02-20,14:53:15,inspection,,1214.89,530.55,195.08,,100,1800
93,9,15,1970-02-21,03:05:33,failure,,1227.09,580.74,169.75,,1200,4100
94,9,15,1970-02-21,03:05:33,replacement,unused,1227.09,580.74,0.0,,1100,5200
95,1,16,1970-02-21,17:17:32,failure,,1241.29,590.44,119.83,,1200,4200
96,1,16,1970-02-21,17:17:32,replacement,unused,1241.29,590.44,0.0,,1100,5300
97,3,21,1970-02-21,19:04:23,inspection,,1243.07,358.91,164.53,,100,5400
98,8,22,1970-02-21,22:33:29,inspection,,1246.56,304.18,155.34,,100,5300
99,9,25,1970-02-22,13:18:58,inspection,,1261.32,34.22,34.22,,100,5300
100,2,24,1970-02-24,01:05:49,inspection,,1297.1,156.11,141.21,,100,5400
101,1,26,1970-02-24,09:47:32,inspection,,1305.79,64.5,64.5,,100,5400
102,4,20,1970-02-24,20:14:00,inspection,,1316.23,481.65,158.95,,100,1900
103,5,23,1970-02-24,21:01:40,inspection,,1317.03,227.59,161.31,,100,5400
104,7,19,1970-02-25,08:37:17,failure,,1328.62,514.98,167.1,,1200,4200
105,7,19,1970-02-25,08:37:17,replacement,unused,1328.62,514.98,0.0,,1100,5300
106,7,27,1970-02-25,18:27:25,inspection,,1338.46,9.84,9.84,,100,5400
107,6,18,1970-02-25,20:57:42,inspection,wornout,1340.96,626.3,172.14,,100,1900
108,10,17,1970-02-26,08:45:18,inspection,,1352.76,668.42,137.87,,100,1900
109,6,18,1970-02-26,13:15:22,replacement,unused,1357.26,642.59,16.29,True,1100,3000
110,8,22,1970-02-28,01:49:02,failure,,1393.82,451.44,147.26,,1200,6500
111,8,22,1970-02-28,01:49:02,replacement,unused,1393.82,451.44,0.0,,1100,7600
112,8,29,1970-02-28,19:03:01,inspection,,1411.05,17.23,17.23,,100,7700
113,9,25,1970-03-01,16:41:26,inspection,,1432.69,205.6,171.37,,100,5400
114,3,21,1970-03-01,17:13:38,inspection,,1433.23,549.07,190.15,,100,5500
115,6,28,1970-03-02,13:05:23,inspection,,1453.09,95.83,95.83,,100,3100
116,4,20,1970-03-02,20:48:50,failure,,1460.81,626.23,144.58,,1200,3100
117,4,20,1970-03-02,20:48:50,replacement,unused,1460.81,626.23,0.0,,1100,4200
118,5,23,1970-03-03,03:47:11,inspection,,1467.79,378.35,150.76,,100,5500
119,2,24,1970-03-03,23:54:58,inspection,,1487.92,346.93,190.82,,100,5500
120,3,21,1970-03-04,04:12:30,failure,,1492.21,608.05,58.98,,1200,6700
121,3,21,1970-03-04,04:12:30,replacement,unused,1492.21,608.05,0.0,,1100,7800
122,1,26,1970-03-04,09:12:17,inspection,,1497.2,255.91,191.41,,100,5500
123,10,17,1970-03-04,10:05:47,failure,,1498.1,813.76,145.34,,1200,3100
124,10,17,1970-03-04,10:05:47,replacement,unused,1498.1,813.76,0.0,,1100,4200
125,4,30,1970-03-05,06:12:01,inspection,,1518.2,57.39,57.39,,100,4300
126,7,27,1970-03-05,10:53:40,inspection,,1522.89,194.27,184.44,,100,5500
127,10,32,1970-03-07,06:12:00,inspection,,1566.2,68.1,68.1,,100,4300
128,5,23,1970-03-08,04:09:07,failure,,1588.15,498.71,120.37,,1200,6700
