,system_id,component_id,event_date,event_time,event_type,event_report,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,2,2,1970-01-06,05:37:22,inspection,,125.62,125.62,125.62,,100,100
1,3,3,1970-01-06,12:49:35,inspection,,132.83,132.83,132.83,,100,100
2,8,8,1970-01-06,22:43:37,inspection,,142.73,142.73,142.73,,100,100
3,5,5,1970-01-07,04:28:22,inspection,,148.47,148.47,148.47,,100,100
4,6,6,1970-01-07,06:10:21,inspection,,150.17,150.17,150.17,,100,100
5,4,4,1970-01-07,10:34:29,inspection,,154.57,154.57,154.57,,100,100
6,7,7,1970-01-07,19:09:29,inspection,,163.16,163.16,163.16,,100,100
7,10,10,1970-01-07,23:28:21,inspection,,167.47,167.47,167.47,,100,100
8,9,9,1970-01-08,00:48:46,inspection,,168.81,168.81,168.81,,100,100
9,1,1,1970-01-10,03:22:50,inspection,,219.38,219.38,219.38,,100,100
10,7,7,1970-01-11,08:26:59,failure,,248.45,248.45,85.29,,1200,1300
11,7,7,1970-01-11,08:26:59,replacement,unused,248.45,248.45,0.0,,1100,2400
12,8,8,1970-01-12,16:56:20,inspection,,280.94,280.94,138.21,,100,200
13,2,2,1970-01-13,09:04:58,inspection,,297.08,297.08,171.46,,100,200
14,3,3,1970-01-13,12:06:58,inspection,,300.12,300.12,167.29,,100,200
15,10,10,1970-01-13,20:10:43,inspection,,308.18,308.18,140.71,,100,200
16,4,4,1970-01-13,21:14:27,inspection,,309.24,309.24,154.67,,100,200
17,7,11,1970-01-14,06:49:19,inspection,,318.82,70.37,70.37,,100,2500
18,1,1,1970-01-15,02:28:28,inspection,,338.47,338.47,119.09,,100,200
19,5,5,1970-01-15,06:26:34,inspection,,342.44,342.44,193.97,,100,200
20,6,6,1970-01-15,16:51:08,inspection,,352.85,352.85,202.68,,100,200
21,9,9,1970-01-16,06:09:31,inspection,,366.16,366.16,197.35,,100,200
22,10,10,1970-01-17,06:34:31,failure,,390.58,390.58,82.4,,1200,1400
23,10,10,1970-01-17,06:34:31,replacement,unused,390.58,390.58,0.0,,1100,2500
24,10,12,1970-01-18,15:18:29,inspection,,423.31,32.73,32.73,,100,2600
25,2,2,1970-01-18,20:01:50,failure,,428.03,428.03,130.95,,1200,1400
26,2,2,1970-01-18,20:01:50,replacement,unused,428.03,428.03,0.0,,1100,2500
27,9,9,1970-01-19,22:53:09,failure,,454.89,454.89,88.73,,1200,1400
28,9,9,1970-01-19,22:53:09,replacement,unused,454.89,454.89,0.0,,1100,2500
29,8,8,1970-01-20,04:12:23,inspection,,460.21,460.21,179.27,,100,300
30,7,11,1970-01-20,18:00:18,inspection,,474.01,225.56,155.18,,100,2600
31,3,3,1970-01-20,21:22:13,inspection,,477.37,477.37,177.25,,100,300
32,2,13,1970-01-21,05:16:35,inspection,,485.28,57.25,57.25,,100,2600
33,4,4,1970-01-21,13:58:29,inspection,,493.97,493.97,184.73,,100,300
34,6,6,1970-01-22,00:25:59,inspection,,504.43,504.43,151.58,,100,300
35,4,4,1970-01-22,06:27:01,failure,,510.45,510.45,16.48,,1200,1500
36,4,4,1970-01-22,06:27:01,replacement,unused,510.45,510.45,0.0,,1100,2600
37,5,5,1970-01-22,10:15:56,inspection,,514.27,514.27,171.82,,100,300
38,1,1,1970-01-23,22:02:59,inspection,,550.05,550.05,211.58,,100,300
39,9,14,1970-01-24,16:03:26,inspection,,568.06,113.17,113.17,,100,2600
40,2,13,1970-01-26,14:09:25,inspection,,614.16,186.13,128.88,,100,2700
41,10,12,1970-01-27,04:40:03,inspection,,628.67,238.09,205.36,,100,2700
42,3,3,1970-01-27,07:06:02,inspection,wornout,631.1,631.1,153.73,,100,400
43,8,8,1970-01-27,08:38:49,inspection,wornout,632.65,632.65,172.44,,100,400
