,system_id,component_id,event_date,event_time,event_type,event_report,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,4,4,1970-01-06,17:51:56,inspection,,137.87,137.87,137.87,,100,100
1,1,1,1970-01-07,14:40:13,failure,,158.67,158.67,158.67,,1200,1200
2,1,1,1970-01-07,14:40:13,replacement,unused,158.67,158.67,0.0,,1100,2300
3,6,6,1970-01-07,19:02:16,inspection,,163.04,163.04,163.04,,100,100
4,1,11,1970-01-07,21:48:07,inspection,,165.8,7.13,7.13,,100,2400
5,3,3,1970-01-08,00:41:53,inspection,,168.7,168.7,168.7,,100,100
6,5,5,1970-01-08,03:41:58,inspection,,171.7,171.7,171.7,,100,100
7,10,10,1970-01-08,13:54:07,inspection,,181.9,181.9,181.9,,100,100
8,9,9,1970-01-08,14:38:02,inspection,,182.63,182.63,182.63,,100,100
9,8,8,1970-01-08,15:15:01,inspection,,183.25,183.25,183.25,,100,100
10,7,7,1970-01-08,17:01:09,inspection,,185.02,185.02,185.02,,100,100
11,2,2,1970-01-09,09:09:37,inspection,,201.16,201.16,201.16,,100,100
12,8,8,1970-01-11,06:53:12,failure,,246.89,246.89,63.64,,1200,1300
13,8,8,1970-01-11,06:53:12,replacement,unused,246.89,246.89,0.0,,1100,2400
14,6,6,1970-01-13,23:35:07,inspection,,311.59,311.59,148.55,,100,200
15,10,10,1970-01-14,00:28:47,inspection,,312.48,312.48,130.58,,100,200
16,4,4,1970-01-14,03:16:05,inspection,,315.27,315.27,177.4,,100,200
17,3,3,1970-01-14,15:05:19,inspection,,327.09,327.09,158.39,,100,200
18,8,12,1970-01-15,04:49:50,inspection,,340.83,93.94,93.94,,100,2500
19,5,5,1970-01-15,16:15:41,inspection,,352.26,352.26,180.56,,100,200
20,7,7,1970-01-15,16:39:19,failure,,352.66,352.66,167.64,,1200,1300
21,7,7,1970-01-15,16:39:19,replacement,unused,352.66,352.66,0.0,,1100,2400
22,1,11,1970-01-15,20:38:26,inspection,,356.64,197.97,190.84,,100,2500
23,7,13,1970-01-16,11:13:54,inspection,,371.23,18.58,18.58,,100,2500
24,2,2,1970-01-16,12:51:39,inspection,,372.86,372.86,171.7,,100,200
25,9,9,1970-01-16,21:35:03,inspection,,381.58,381.58,198.95,,100,200
26,3,3,1970-01-19,08:27:05,inspection,,440.45,440.45,113.36,,100,300
27,10,10,1970-01-20,02:28:05,inspection,,458.47,458.47,145.99,,100,300
28,6,6,1970-01-20,23:48:37,inspection,,479.81,479.81,168.23,,100,300
29,2,2,1970-01-21,02:57:31,inspection,,482.96,482.96,110.1,,100,300
30,4,4,1970-01-21,03:12:31,failure,,483.21,483.21,167.94,,1200,1400
31,4,4,1970-01-21,03:12:31,replacement,unused,483.21,483.21,0.0,,1100,2500
32,4,14,1970-01-21,06:47:08,inspection,,486.79,3.58,3.58,,100,2600
33,7,13,1970-01-21,11:34:09,inspection,,491.57,138.91,120.34,,100,2600
34,5,5,1970-01-21,23:47:23,inspection,,503.79,503.79,151.53,,100,300
35,8,12,1970-01-22,16:22:53,inspection,,520.38,273.49,179.55,,100,2600
36,1,11,1970-01-22,17:33:34,inspection,,521.56,362.89,164.92,,100,2600
37,9,9,1970-01-23,15:25:06,inspection,,543.42,543.42,161.83,,100,300
38,3,3,1970-01-26,11:26:05,inspection,wornout,611.43,611.43,170.98,,100,400
39,3,3,1970-01-27,01:22:40,replacement,unused,625.38,625.38,13.94,False,1100,1500
40,5,5,1970-01-27,18:18:19,inspection,wornout,642.31,642.31,138.52,,100,400
41,7,13,1970-01-27,22:04:21,inspection,,646.07,293.42,154.5,,100,2700
42,10,10,1970-01-28,00:03:28,inspection,,648.06,648.06,189.59,,100,400
43,2,2,1970-01-28,09:54:42,inspection,,657.91,657.91,174.95,,100,400
44,4,14,1970-01-28,16:44:03,inspection,,664.73,181.53,177.95,,100,2700
45,5,5,1970-01-28,18:00:56,replacement,reused,666.02,666.02,23.71,True,1000,1400
46,8,12,1970-01-28,23:05:02,inspection,,671.08,424.2,150.7,,100,2700
47,6,6,1970-01-28,23:40:47,inspection,wornout,671.68,671.68,191.87,,100,400
48,6,6,1970-01-29,04:47:00,failure,,676.78,676.78,5.1,,1200,1600
49,6,6,1970-01-29,04:47:00,replacement,unused,676.78,676.78,0.0,,1100,2700
50,1,11,1970-01-30,19:07:03,inspection,wornout,715.12,556.45,193.56,,100,2700
51,1,11,1970-01-30,20:08:49,replacement,unused,716.15,557.48,1.03,False,1100,3800
52,2,2,1970-01-31,04:02:36,failure,,724.04,724.04,66.13,,1200,1600
53,2,2,1970-01-31,04:02:36,replacement,reused,724.04,724.04,0.0,,1000,2600
54,9,9,1970-01-31,10:00:55,inspection,wornout,730.02,730.02,186.6,,100,400
55,9,9,1970-01-31,11:56:23,replacement,unused,731.94,731.94,1.92,True,1100,1500
56,8,12,1970-02-02,04:48:06,failure,,772.8,525.91,101.72,,1200,3900
57,8,12,1970-02-02,04:48:06,replacement,unused,772.8,525.91,0.0,,1100,5000
58,5,3,1970-02-03,00:00:38,inspection,wornout,792.01,751.37,126.0,,100,1500
59,3,15,1970-02-03,02:08:38,inspection,,794.14,168.77,168.77,,100,1600
60,5,3,1970-02-03,12:50:59,replacement,unused,804.85,764.21,12.84,True,1100,2600
61,7,13,1970-02-03,17:23:05,failure,,809.38,456.73,163.31,,1200,3900
62,7,13,1970-02-03,17:23:05,replacement,unused,809.38,456.73,0.0,,1100,5000
63,8,19,1970-02-04,15:21:59,inspection,,831.37,58.56,58.56,,100,5100
64,10,10,1970-02-04,17:10:22,inspection,expired,833.17,833.17,185.11,,100,500
65,10,10,1970-02-04,17:35:22,failure,,833.59,833.59,0.42,,1200,1700
66,10,10,1970-02-04,17:35:22,replacement,unused,833.59,833.59,0.0,,1100,2800
