,system_id,component_id,event_date,event_time,event_type,event_report,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,8,8,1970-01-06,09:47:04,inspection,,129.78,129.78,129.78,,100,100
1,2,2,1970-01-06,18:46:28,inspection,,138.77,138.77,138.77,,100,100
2,4,4,1970-01-07,07:55:50,inspection,,151.93,151.93,151.93,,100,100
3,3,3,1970-01-07,20:03:29,inspection,,164.06,164.06,164.06,,100,100
4,5,5,1970-01-08,01:20:27,inspection,,169.34,169.34,169.34,,100,100
5,1,1,1970-01-08,02:04:24,inspection,,170.07,170.07,170.07,,100,100
6,10,10,1970-01-08,11:04:45,inspection,,179.08,179.08,179.08,,100,100
7,9,9,1970-01-08,11:31:24,inspection,,179.52,179.52,179.52,,100,100
8,7,7,1970-01-08,22:33:46,inspection,,190.56,190.56,190.56,,100,100
9,6,6,1970-01-09,11:30:29,inspection,,203.51,203.51,203.51,,100,100
10,9,9,1970-01-13,20:48:51,inspection,,308.81,308.81,129.29,,100,200
11,4,4,1970-01-14,15:38:49,inspection,,327.65,327.65,175.72,,100,200
12,2,2,1970-01-14,17:55:31,inspection,,329.93,329.93,191.15,,100,200
13,1,1,1970-01-14,19:02:13,inspection,,331.04,331.04,160.96,,100,200
14,8,8,1970-01-15,04:23:50,inspection,,340.4,340.4,210.61,,100,200
15,5,5,1970-01-15,04:34:57,inspection,,340.58,340.58,171.24,,100,200
16,3,3,1970-01-15,16:51:39,inspection,,352.86,352.86,188.8,,100,200
17,10,10,1970-01-16,04:48:13,inspection,,364.8,364.8,185.72,,100,200
18,7,7,1970-01-16,05:48:50,inspection,,365.81,365.81,175.25,,100,200
19,9,9,1970-01-17,02:51:58,failure,,386.87,386.87,78.05,,1200,1400
20,9,9,1970-01-17,02:51:58,replacement,unused,386.87,386.87,0.0,,1100,2500
21,6,6,1970-01-17,17:45:40,inspection,,401.76,401.76,198.25,,100,200
22,5,5,1970-01-20,04:25:00,failure,,460.42,460.42,119.83,,1200,1400
23,5,5,1970-01-20,04:25:00,replacement,unused,460.42,460.42,0.0,,1100,2500
24,8,8,1970-01-20,15:37:43,inspection,,471.63,471.63,131.23,,100,300
25,1,1,1970-01-20,18:18:35,inspection,,474.31,474.31,143.27,,100,300
26,4,4,1970-01-21,00:26:34,inspection,,480.44,480.44,152.8,,100,300
27,3,3,1970-01-21,00:27:22,inspection,wornout,480.46,480.46,127.6,,100,300
28,9,11,1970-01-21,07:53:49,inspection,,487.9,101.03,101.03,,100,2600
29,5,12,1970-01-22,09:42:03,inspection,,513.7,53.28,53.28,,100,2600
30,3,3,1970-01-22,13:46:22,replacement,unused,517.77,517.77,37.32,False,1100,1400
31,7,7,1970-01-22,17:19:39,inspection,,521.33,521.33,155.51,,100,300
32,2,2,1970-01-23,09:20:49,inspection,,537.35,537.35,207.42,,100,300
33,10,10,1970-01-24,06:41:32,inspection,,558.69,558.69,193.89,,100,300
34,6,6,1970-01-26,10:24:44,inspection,wornout,610.41,610.41,208.65,,100,300
35,3,13,1970-01-26,15:21:10,inspection,,615.35,97.58,97.58,,100,1500
36,6,6,1970-01-26,20:16:16,replacement,reused,620.27,620.27,9.86,False,1000,1300
37,4,4,1970-01-27,01:40:15,inspection,,625.67,625.67,145.23,,100,400
38,1,1,1970-01-27,17:24:18,inspection,,641.41,641.41,167.1,,100,400
39,8,8,1970-01-27,20:38:57,inspection,,644.65,644.65,173.02,,100,400
40,9,11,1970-01-29,08:08:11,inspection,,680.14,293.27,192.24,,100,2700
41,5,12,1970-01-29,12:12:34,inspection,,684.21,223.79,170.51,,100,2700
42,10,10,1970-01-29,12:51:41,inspection,wornout,684.86,684.86,126.17,,100,400
43,10,10,1970-01-29,18:56:58,replacement,reused,690.95,690.95,6.09,True,1000,1400
44,7,7,1970-01-30,15:01:24,inspection,wornout,711.02,711.02,189.7,,100,400
45,2,2,1970-01-30,20:24:13,inspection,wornout,716.4,716.4,179.06,,100,400
46,2,2,1970-01-31,02:36:12,replacement,unused,722.6,722.6,6.2,True,1100,1500
47,6,3,1970-01-31,09:04:19,failure,,729.07,626.57,108.8,,1200,2500
48,6,3,1970-01-31,09:04:19,replacement,unused,729.07,626.57,0.0,,1100,3600
49,7,7,1970-01-31,10:45:15,replacement,unused,730.75,730.75,19.73,True,1100,1500
