eta,beta,expiration,mu,sigma,theta,inspection_deviation,inspection_threshold,replacement,inspection,component,failure,n_systems,n_events,time_origin,id_0_component,id_0_system,output_data_filepath,Average of failure per month,Average of failure per trimestre,Average of failure per year,Stability per month,Stability per trimestre,Stability per year,Average of replacement per month,Average of replacement per trimestre,Average of replacement per year,Preventive Effectiveness Ratio (PER),Précision du détecteur,Taux de détection (Rappel),Average cost of one system,Standard Deviation
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,sample_system_dataset_0.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260129_214656.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260129_215639.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260129_215640.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260129_215736.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260129_221256.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260130_093409.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260130_103854.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260130_105234.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260130_113227.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260202_103649.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260202_120352.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260202_121502.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260202_135144.csv,,,,,,,,,,,,,,
720.0,3.0,792.0,168.0,25.2,12.0,0.05,0.5,1000,100,100,1200,10,10000,0,0,0,outputs/simulation_data_20260202_160140.csv,7.846153846153846,23.263157894736842,88.4,1.6939926676561197,4.647809196364943,36.71019061838409,12.34319526627219,36.59649122807018,139.06666666666666,1.5731523378582204,0.0,0.0,453190.0,12382.106264911296
