,system_id,component_id,event_date,event_time,event_type,event_report,system_age,component_age,usage_since_last_event_h,FF,cost_event,cost_cumulated
0,6,6,1970-01-06,12:07:19,inspection,,132.12,132.12,132.12,,100,100
1,2,2,1970-01-06,22:00:26,inspection,,142.01,142.01,142.01,,100,100
2,10,10,1970-01-07,03:00:39,inspection,,147.01,147.01,147.01,,100,100
3,4,4,1970-01-07,10:27:19,inspection,,154.46,154.46,154.46,,100,100
4,5,5,1970-01-07,18:10:22,inspection,,162.17,162.17,162.17,,100,100
5,7,7,1970-01-07,23:16:03,inspection,,167.27,167.27,167.27,,100,100
6,9,9,1970-01-08,04:49:27,inspection,,172.82,172.82,172.82,,100,100
7,8,8,1970-01-08,11:52:24,inspection,,179.87,179.87,179.87,,100,100
8,1,1,1970-01-08,20:24:04,inspection,,188.4,188.4,188.4,,100,100
9,3,3,1970-01-10,01:52:35,inspection,,217.88,217.88,217.88,,100,100
10,8,8,1970-01-10,05:03:32,failure,,221.06,221.06,41.19,,1200,1300
11,8,8,1970-01-10,05:03:32,replacement,unused,221.06,221.06,0.0,,1100,2400
12,9,9,1970-01-13,04:43:08,failure,,292.72,292.72,119.89,,1200,1300
13,9,9,1970-01-13,04:43:08,replacement,unused,292.72,292.72,0.0,,1100,2400
14,2,2,1970-01-13,05:42:44,inspection,,293.71,293.71,151.7,,100,200
15,7,7,1970-01-13,20:27:41,inspection,,308.46,308.46,141.19,,100,200
16,10,10,1970-01-13,20:41:24,inspection,,308.69,308.69,161.68,,100,200
17,6,6,1970-01-14,10:53:48,inspection,,322.9,322.9,190.77,,100,200
18,4,4,1970-01-15,00:01:44,inspection,,336.03,336.03,181.57,,100,200
19,9,12,1970-01-15,00:32:21,inspection,,336.54,43.82,43.82,,100,2500
20,5,5,1970-01-15,21:16:19,inspection,,357.27,357.27,195.1,,100,200
21,4,4,1970-01-16,03:04:52,failure,,363.08,363.08,27.05,,1200,1400
22,4,4,1970-01-16,03:04:52,replacement,unused,363.08,363.08,0.0,,1100,2500
23,1,1,1970-01-16,18:44:57,inspection,,378.75,378.75,190.35,,100,200
24,8,11,1970-01-17,17:11:17,inspection,,401.19,180.13,180.13,,100,2500
25,5,5,1970-01-18,00:23:21,failure,,408.39,408.39,51.12,,1200,1400
